example_id                                                            | status  | run_time        |
./spec/controllers/sessions_controller_spec.rb[1:3:3:1]               | passed  | 0.01692 seconds |
./spec/controllers/sessions_controller_spec.rb[1:3:3:2]               | passed  | 0.0244 seconds  |
./spec/controllers/sessions_controller_spec.rb[1:4:1]                 | passed  | 0.05404 seconds |
./spec/controllers/sessions_controller_spec.rb[1:4:2]                 | passed  | 0.04356 seconds |
./spec/controllers/sessions_controller_spec.rb[1:4:3]                 | passed  | 0.05117 seconds |
./spec/controllers/sessions_controller_spec.rb[1:4:4]                 | passed  | 0.05777 seconds |
./spec/controllers/sessions_controller_spec.rb[1:4:5:1]               | passed  | 0.03334 seconds |
./spec/controllers/sessions_controller_spec.rb[1:5:1]                 | passed  | 0.00679 seconds |
./spec/controllers/sessions_controller_spec.rb[1:5:2]                 | passed  | 0.03513 seconds |
./spec/controllers/sessions_controller_spec.rb[1:5:3]                 | passed  | 0.01062 seconds |
./spec/controllers/sessions_controller_spec.rb[1:5:4]                 | passed  | 0.04743 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:1:1:1] | passed  | 0.04897 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:1:1:2] | passed  | 0.06141 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:1:2:1] | passed  | 0.06658 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:2:1:1] | passed  | 0.04424 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:2:2:1] | passed  | 0.077 seconds   |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:2:3:1] | passed  | 0.04392 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:3:1:1] | passed  | 0.06796 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:3:1:2] | passed  | 0.05599 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:3:2:1] | passed  | 0.05565 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:3:2:2] | passed  | 0.05008 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:3:3:1] | passed  | 0.07198 seconds |
./spec/controllers/trades_person_profiles_controller_spec.rb[1:4:1]   | passed  | 0.07911 seconds |
./spec/helpers/client_profiles_helper_spec.rb[1:1]                    | pending | 0.00002 seconds |
./spec/helpers/trades_person_profiles_helper_spec.rb[1:1]             | pending | 0.00004 seconds |
./spec/models/ability_spec.rb[1:1:1]                                  | passed  | 0.00327 seconds |
./spec/models/ability_spec.rb[1:1:2]                                  | passed  | 0.00317 seconds |
./spec/models/ability_spec.rb[1:1:3]                                  | passed  | 0.01477 seconds |
./spec/models/ability_spec.rb[1:2:1:1]                                | passed  | 0.02051 seconds |
./spec/models/ability_spec.rb[1:2:1:2]                                | passed  | 0.028 seconds   |
